Cost_ID,Date,Department,City,Cost_Type,Cost_Amount,Budget_Amount,Employee_ID,Approved_By,Cost_Center_Code,Fiscal_Quarter,Fiscal_Year,Is_Recurring,Notes,Currency
CST000063,2023-05-24,Operations,Asyut,Marketing,119745.07,10255.3,E0123,MGR4,CC009,Q4,2021,True,,EGP
CST000064,2021-05-22,Operations,Alexandria,Marketing,7277.89,7548.69,E0064,MGR9,CC010,Q4,2021,True,Note_7,EGP
CST000065,2023-11-16,Finance,Alexandria,Insurance,7492.17,5924.97,E0155,MGR1,CC015,Q1,2024,False,Note_58,
CST000066,2022-04-27,Finance,Suez,Depreciation,15636.62,7674.48,E0162,MGR4,CC019,Q2,2021,True,,EGP
CST000067,2022-07-02,Finance,Port Said,Maintenance,55326.2,3322.18,E0029,MGR18,CC012,Q1,2024,False,,EGP
CST000068,2021-05-17,Sales,Port Said,Marketing,29421.94,5314.99,E0095,MGR12,CC008,Q1,2023,False,,EGP
CST000069,2022-09-23,Operations,Mansoura,Marketing,25540.36,1969.46,E0025,MGR13,CC029,Q3,2023,True,,EGP
CST000070,2021-12-30,IT,Mansoura,Rent,21224.05,5068.38,E0083,MGR7,CC010,Q4,2023,False,,USD
CST000071,2022-01-08,Customer Service,Port Said,Maintenance,13448.37,11879.78,E0055,MGR14,CC002,Q3,2024,True,Note_78,EGP
CST000072,2022-04-29,HR,Luxor,Salaries,13890.4,5608.12,E0092,MGR1,CC008,Q2,2023,True,Note_73,EGP
CST000073,2023-12-04,Operations,Tanta,COGS,3217.68,37197.46,E0034,MGR18,CC017,Q1,2023,False,,EUR
CST000074,2021-06-30,IT,Giza,Maintenance,117907.58,11757.35,E0076,MGR14,CC002,Q3,2022,True,,USD
CST000075,2024-09-22,IT,Port Said,Salaries,0.0,33550.58,E0054,MGR3,CC027,Q2,2024,False,Note_5,EGP
CST000076,2021-06-26,Operations,Aswan,Utilities,1901.51,3268.19,E0168,MGR2,CC003,Q1,2021,False,,EGP
CST000077,2024-07-31,HR,Asyut,Maintenance,23479.19,9138.25,E0137,MGR18,CC014,Q4,2023,True,,EGP
CST000078,2021-10-05,Logistics,Port Said,Insurance,30016.36,13162.0,E0040,MGR3,CC020,Q3,2021,True,Note_80,USD
CST000079,2023-03-31,Finance,Suez,Depreciation,93549.2,30784.27,E0148,MGR12,CC028,Q2,2023,True,Note_94,USD
CST000080,2023-06-26,IT,Suez,Depreciation,19385.44,118233.99,E0008,MGR5,CC020,Q3,2024,False,Note_26,EGP
CST000081,2022-03-18,Finance,Tanta,Utilities,8698.39,97119.22,E0171,MGR15,CC016,Q1,2024,True,,EGP
CST000082,2022-07-07,IT,Port Said,Insurance,7091.92,7110.04,E0060,MGR12,CC022,Q2,2023,False,,
CST000083,2022-03-17,Customer Service,Alexandria,Utilities,2209.22,25494.74,E0196,MGR8,CC012,Q2,2021,True,,EGP
CST000084,2024-02-10,Operations,Suez,COGS,5360.02,40965.26,E0101,MGR3,CC028,Q2,2022,True,,EGP
CST000085,2022-05-05,HR,Mansoura,Rent,1256.39,580.18,E0161,MGR4,CC012,Q1,2022,False,,EGP
CST000086,2023-12-22,HR,Suez,Marketing,2165.94,8139.15,E0125,MGR4,CC006,Q2,2022,True,,EGP
CST000087,2023-01-22,Finance,Asyut,Depreciation,25205.32,6533.88,E0148,MGR11,CC012,Q1,2021,True,,USD
CST000088,2024-10-22,IT,Asyut,Maintenance,39296.86,54840.77,E0022,MGR8,CC004,Q2,2024,True,Note_96,EGP
CST000089,2022-05-29,Finance,Giza,Utilities,12251.11,267737.86,E0034,MGR1,CC015,Q2,2023,True,,EGP
CST000090,2023-06-07,Sales,Mansoura,Salaries,11575.56,11239.47,E0005,MGR5,CC013,Q2,2023,True,Note_25,EGP
CST000091,2024-01-21,Marketing,Cairo,COGS,3918.63,5857.23,E0074,MGR12,CC023,Q3,2022,True,,USD
CST000092,2021-07-25,Operations,Aswan,Marketing,141609.01,32054.65,E0122,MGR1,CC013,Q1,2023,True,,EGP
CST000093,2024-06-16,Operations,Port Said,Salaries,1227.38,11860.58,E0170,MGR15,CC030,Q4,2021,False,Note_32,EGP
CST000094,2022-06-03,Operations,Tanta,Utilities,6399.54,17924.81,E0198,MGR5,CC014,Q4,2021,True,,EGP
CST000095,2022-02-07,Logistics,Alexandria,Rent,40017.39,8551.83,E0052,MGR7,CC017,Q1,2023,True,,EGP
CST000096,2024-08-10,Marketing,Giza,Maintenance,44421.57,8778.56,E0139,MGR14,CC008,Q3,2021,False,,
CST000097,2024-07-05,Logistics,Tanta,Marketing,0.0,3468.86,E0181,MGR17,CC009,Q1,2021,False,Note_2,EGP
CST000098,2021-10-10,Finance,Giza,COGS,1450.21,2089.11,E0081,MGR9,CC011,Q3,2022,True,,USD
CST000099,2021-11-15,Marketing,Alexandria,Depreciation,0.0,16518.2,E0057,MGR7,CC023,Q2,2024,False,Note_39,EGP
CST000100,2021-01-28,Marketing,Mansoura,Utilities,8784.31,12298.29,E0105,MGR7,CC030,Q2,2023,True,Note_70,USD
CST000101,2022-09-05,Sales,Luxor,Depreciation,16863.8,3376.89,E0058,MGR6,CC028,Q4,2023,True,,EGP
CST000102,2024-06-03,Logistics,Tanta,Insurance,10026.75,18673.47,E0140,MGR20,CC006,Q3,2024,False,,EGP
CST000103,2021-08-26,Sales,Port Said,Marketing,1912.77,26506.29,E0016,MGR4,CC024,Q1,2021,True,,USD
CST000104,2021-09-14,Finance,Tanta,Depreciation,22876.74,5212.98,E0164,MGR5,CC012,Q1,2023,True,,EGP
CST000105,2023-02-04,Logistics,Aswan,Rent,34240.65,6110.61,E0024,MGR18,CC021,Q4,2024,True,,EGP
CST000106,2021-10-08,Sales,Cairo,Salaries,16017.89,2219.86,E0188,MGR12,CC004,Q3,2023,False,,USD
CST000107,2024-06-28,Finance,Suez,Rent,2921.44,2114.2,E0090,MGR9,CC007,Q1,2024,False,Note_2,EGP
CST000108,2021-08-02,IT,Cairo,Depreciation,55986.9,116635.55,E0034,MGR18,CC030,Q4,2023,True,,EGP
CST000109,2021-02-04,Logistics,Tanta,Rent,224.82,9821.96,E0089,MGR11,CC006,Q1,2024,False,,EGP
CST000110,2023-02-24,Operations,Aswan,Depreciation,2189.63,4518.83,E0180,MGR4,CC030,Q1,2023,False,Note_14,EGP
CST000111,2021-03-18,Marketing,Asyut,Depreciation,5645.13,2396.01,E0193,MGR13,CC001,Q3,2023,False,,EGP
CST000112,2024-07-21,Finance,Suez,Rent,5410.5,10177.86,E0073,MGR20,CC002,Q2,2023,True,Note_90,USD
CST000113,2024-04-22,IT,Asyut,Insurance,6251.55,35746.1,E0186,MGR3,CC011,Q3,2022,False,,EGP
CST000114,2022-03-15,Finance,Port Said,Maintenance,24338.02,10135.02,E0130,MGR17,CC023,Q4,2021,False,,EGP
CST000115,2024-06-10,Logistics,Tanta,Salaries,10657.8,4625.1,E0154,MGR20,CC010,Q4,2022,False,Note_94,EUR
CST000116,2023-08-14,HR,Suez,COGS,1635.65,6381.43,E0099,MGR16,CC020,Q1,2022,True,,EUR
CST000117,2021-08-27,Logistics,Cairo,Marketing,2200.32,4268.25,E0094,MGR13,CC010,Q2,2022,True,,EGP
CST000118,2023-11-09,Operations,Luxor,Insurance,20057.12,110806.51,E0043,MGR12,CC015,Q1,2024,True,Note_97,EGP
CST000119,2023-11-29,Finance,Port Said,Depreciation,15919.96,4203.65,E0028,MGR19,CC013,Q4,2024,True,,EGP
CST000120,2024-12-19,IT,Cairo,Salaries,4999.39,8779.34,E0090,MGR13,CC009,Q2,2023,True,,EGP
CST000121,2023-05-16,Marketing,Cairo,Insurance,22311.81,17114.65,E0198,MGR2,CC002,Q4,2021,False,Note_97,EGP
CST000122,2021-04-12,Marketing,Giza,Depreciation,162061.3,18415.93,E0140,MGR2,CC014,Q2,2024,False,,USD
CST000123,2021-05-17,Logistics,Cairo,Marketing,5681.12,37572.44,E0186,MGR11,CC027,Q1,2024,False,,EGP
CST000124,2023-02-08,Customer Service,Cairo,Salaries,32262.92,14542.49,E0166,MGR13,CC008,Q3,2023,True,,EUR
CST000125,2021-11-17,Customer Service,Mansoura,COGS,0.0,3013.53,E0061,MGR1,CC024,Q3,2023,True,Note_40,USD
CST000126,2023-04-23,Sales,Cairo,Marketing,4888.84,3985.12,E0067,MGR5,CC019,Q1,2022,False,,EUR
CST000127,2023-05-20,Logistics,Aswan,Rent,2592.6,16242.01,E0114,MGR14,CC030,Q4,2021,False,,EGP
CST000128,2021-07-10,Sales,Suez,Maintenance,5117.87,1930.77,E0143,MGR12,CC006,Q4,2023,False,,EGP
CST000129,2021-05-20,Logistics,Tanta,Maintenance,5086.15,12007.11,E0194,MGR12,CC006,Q4,2021,False,,EGP
CST000130,2024-09-05,IT,Giza,Marketing,2135.84,8263.22,E0001,MGR6,CC013,Q4,2024,True,Note_94,EGP
CST000131,2022-01-15,Sales,Luxor,Rent,46601.94,717.85,E0048,MGR18,CC012,Q4,2022,False,Note_37,EUR
CST000132,2023-12-11,Customer Service,Aswan,Utilities,5360.34,7948.83,E0193,MGR11,CC009,Q4,2023,True,Note_77,EGP
CST000133,2024-04-12,Logistics,Port Said,Marketing,4798.49,14313.12,E0149,MGR19,CC005,Q2,2024,True,,
CST000134,2021-10-08,Logistics,Luxor,Marketing,8198.21,5479.66,E0096,MGR20,CC003,Q3,2023,False,,EUR
CST000135,2022-02-10,Sales,Tanta,Marketing,51778.93,6428.78,E0124,MGR14,CC021,Q2,2024,True,,EGP
CST000136,2021-08-02,Logistics,Giza,Utilities,8249.39,5795.0,E0108,MGR13,CC015,Q1,2024,True,,EGP
CST000137,2022-02-14,Customer Service,Asyut,COGS,1816.8,11579.98,E0096,MGR2,CC006,Q2,2024,False,,USD
CST000138,2021-11-13,Marketing,Cairo,Utilities,1235.84,21430.92,E0179,MGR14,CC012,Q3,2022,True,,EGP
CST000139,2024-05-17,Operations,Giza,COGS,10101.06,1657.66,E0032,MGR9,CC028,Q1,2022,True,,EGP
CST000140,2024-06-14,Logistics,Asyut,Insurance,2758.88,9179.02,E0184,MGR10,CC016,Q1,2023,True,,USD
CST000141,2022-09-15,HR,Port Said,Marketing,12424.73,2188.3,E0011,MGR11,CC026,Q2,2023,True,,EGP
CST000142,2023-05-15,Logistics,Giza,Utilities,10024.32,62899.77,E0064,MGR15,CC022,Q2,2023,False,Note_60,EGP
CST000143,2022-01-14,Finance,Cairo,Marketing,-13895.14,7564.94,E0147,MGR7,CC017,Q2,2022,True,Note_37,USD
CST000144,2024-03-03,Customer Service,Asyut,Rent,1190.03,77428.19,E0023,MGR8,CC006,Q4,2024,True,,USD
CST000145,2021-05-19,Sales,Mansoura,Rent,3326.99,9965.39,E0090,MGR1,CC025,Q4,2022,True,Note_10,
CST000146,2023-03-16,Operations,Alexandria,Utilities,11826.77,29302.33,E0048,MGR10,CC003,Q2,2021,True,,EUR
CST000147,2023-03-04,Marketing,Suez,COGS,8333.77,4121.08,E0098,MGR13,CC015,Q2,2023,False,Note_82,EGP
CST000148,2021-05-07,Sales,Tanta,Utilities,0.0,22898.71,E0112,MGR10,CC001,Q2,2021,True,Note_45,EGP
CST000149,2022-01-13,Logistics,Aswan,Salaries,6600.87,1393.15,E0095,MGR15,CC013,Q3,2022,True,Note_60,EGP
CST000150,2023-12-08,Operations,Suez,Utilities,8204.06,30145.9,E0049,MGR3,CC007,Q3,2022,False,Note_19,EGP
CST000151,2021-08-16,Sales,Asyut,Marketing,27198.99,5354.32,E0099,MGR1,CC020,Q4,2023,True,,EGP
CST000152,2022-04-14,Marketing,Giza,COGS,2193.26,1251.34,E0161,MGR4,CC007,Q2,2024,True,,EGP
CST000153,2022-08-09,HR,Mansoura,COGS,912.58,8039.62,E0066,MGR11,CC016,Q1,2022,True,Note_14,USD
CST000154,2021-12-25,Logistics,Cairo,Depreciation,715.31,14935.79,E0064,MGR10,CC011,Q1,2024,True,,USD
CST000155,2024-04-14,Logistics,Tanta,Insurance,4962.63,23816.24,E0009,MGR2,CC008,Q1,2023,True,Note_97,EGP
CST000156,2022-04-26,HR,Suez,Depreciation,4695.86,11259.85,E0112,MGR8,CC021,Q4,2024,False,,EGP
CST000157,2024-05-22,Customer Service,Suez,Salaries,25698.94,55534.92,E0105,MGR18,CC026,Q2,2023,True,,EUR
CST000158,2022-01-29,Marketing,Tanta,Rent,998.42,16436.87,E0200,MGR15,CC012,Q3,2022,True,,EGP
CST000159,2024-09-21,Logistics,Port Said,Salaries,2560.1,13299.0,E0080,MGR9,CC023,Q4,2022,False,,EGP
CST000160,2021-03-04,Sales,Asyut,Utilities,8185.48,4197.85,E0025,MGR9,CC003,Q4,2024,False,,
CST000161,2022-04-24,IT,Giza,Marketing,28557.54,2577.27,E0073,MGR16,CC024,Q1,2024,True,,EGP
CST000162,2021-09-24,Sales,Alexandria,COGS,1556.68,4079.57,E0190,MGR1,CC010,Q4,2023,False,Note_65,USD
CST000163,2023-05-02,IT,Cairo,Utilities,6326.2,13088.01,E0029,MGR13,CC030,Q3,2022,True,,EGP
CST000164,2024-06-07,Finance,Asyut,Insurance,3346.75,17371.99,E0113,MGR18,CC013,Q4,2023,False,,EGP
CST000165,2021-12-31,Marketing,Alexandria,Utilities,1529.17,3373.01,E0163,MGR5,CC002,Q3,2022,True,,EGP
CST000166,2024-06-03,HR,Giza,Depreciation,6523.99,5739.56,E0051,MGR11,CC027,Q4,2022,True,,EUR
CST000167,2021-02-01,Marketing,Luxor,Depreciation,1332.81,3508.03,E0089,MGR8,CC009,Q2,2023,False,,USD
CST000168,2022-10-23,Marketing,Suez,COGS,2510.25,35951.11,E0019,MGR19,CC029,Q4,2024,False,,EGP
CST000169,2023-10-07,Operations,Suez,Insurance,2094.88,12701.78,E0191,MGR12,CC014,Q1,2023,True,,EGP
CST000170,2022-06-10,Operations,Cairo,Maintenance,45358.89,4887.64,E0044,MGR19,CC029,Q2,2021,False,Note_53,EGP
CST000171,2021-05-08,Logistics,Port Said,Rent,12068.51,3617.98,E0189,MGR3,CC015,Q4,2021,True,,EGP
CST000172,2021-10-17,Customer Service,Tanta,Insurance,5054.36,9211.77,E0100,MGR1,CC014,Q4,2022,False,,EGP
CST000173,2024-08-09,IT,Aswan,Insurance,0.0,1158.96,E0020,MGR5,CC025,Q2,2022,True,Note_45,EGP
CST000174,2023-05-11,Operations,Port Said,Utilities,9361.57,1478.82,E0090,MGR20,CC001,Q2,2024,False,,EGP
CST000175,2023-12-07,Sales,Asyut,Depreciation,-651.47,9086.77,E0127,MGR3,CC030,Q1,2021,False,,USD
CST000176,2022-03-26,Customer Service,Port Said,COGS,28712.22,12864.5,E0196,MGR19,CC024,Q4,2023,True,,EGP
CST000177,2024-05-02,Operations,Asyut,Rent,9092.11,23048.89,E0157,MGR5,CC006,Q4,2021,False,,EGP
CST000178,2021-11-06,Operations,Aswan,Rent,17797.03,48272.36,E0016,MGR3,CC025,Q1,2024,True,Note_26,EGP
CST000179,2021-10-19,Logistics,Aswan,Salaries,1004.69,8304.82,E0190,MGR13,CC024,Q4,2021,False,,EGP
CST000180,2024-07-12,IT,Aswan,Maintenance,44595.59,50248.33,E0078,MGR16,CC009,Q3,2021,True,Note_81,EGP
CST000181,2022-04-05,Marketing,Cairo,Depreciation,11356.86,31415.23,E0142,MGR7,CC016,Q1,2023,True,Note_17,EGP
CST000182,2024-10-10,Logistics,Cairo,Utilities,9569.69,15975.53,E0187,MGR2,CC013,Q4,2022,False,,EGP
CST000183,2024-11-07,IT,Suez,Salaries,1777.24,29434.1,E0155,MGR13,CC026,Q1,2021,False,Note_59,USD
CST000184,2023-04-05,Logistics,Luxor,Utilities,4072.0,19922.18,E0092,MGR11,CC014,Q2,2021,True,,USD
CST000185,2022-02-09,Finance,Alexandria,Rent,14497.57,1195.52,E0097,MGR16,CC021,Q2,2023,True,,EGP
CST000186,2023-03-21,Sales,Tanta,Maintenance,-0.0,10340.18,E0148,MGR3,CC028,Q4,2022,True,,EGP
CST000187,2021-05-06,Customer Service,Mansoura,Salaries,2589.68,6470.88,E0159,MGR12,CC016,Q4,2023,False,,EGP
CST000188,2021-08-19,HR,Port Said,Marketing,4145.66,8684.62,E0153,MGR2,CC023,Q4,2024,True,,USD
CST000189,2023-08-06,Finance,Aswan,Maintenance,23115.78,5213.38,E0178,MGR3,CC023,Q4,2023,False,,EGP
CST000190,2023-06-15,Operations,Aswan,Depreciation,968.1,49087.29,E0111,MGR6,CC004,Q1,2023,True,Note_12,EGP
CST000191,2023-03-15,IT,Alexandria,Maintenance,2973.93,3891.62,E0018,MGR20,CC003,Q2,2022,True,,EGP
CST000192,2024-01-07,Finance,Giza,Marketing,3941.28,10837.37,E0087,MGR1,CC006,Q2,2022,False,,EGP
CST000193,2021-02-13,HR,Tanta,COGS,1982.84,5939.86,E0095,MGR4,CC006,Q3,2022,True,,EGP
CST000194,2023-04-24,Sales,Cairo,Utilities,6237.72,3744.4,E0122,MGR1,CC004,Q1,2024,False,,EGP
CST000195,2023-02-25,Marketing,Port Said,Salaries,28550.3,7651.22,E0197,MGR18,CC020,Q1,2023,False,,EGP
CST000196,2022-10-25,Operations,Asyut,COGS,3614.31,22949.02,E0065,MGR10,CC016,Q4,2022,True,Note_37,EGP
CST000197,2024-03-26,Marketing,Mansoura,Depreciation,16009.91,23236.28,E0084,MGR9,CC020,Q3,2022,True,,EGP
CST000198,2021-06-25,Sales,Alexandria,Depreciation,2123.7,86425.77,E0050,MGR15,CC027,Q4,2022,True,,EGP
CST000199,2024-10-18,HR,Port Said,Utilities,6889.22,5118.97,E0115,MGR16,CC004,Q4,2023,True,Note_91,EGP
CST000200,2024-11-18,Operations,Suez,Maintenance,14674.64,192525.0,E0172,MGR16,CC014,Q4,2023,True,,EGP
CST000201,2022-10-14,Marketing,Alexandria,Depreciation,66272.83,12441.44,E0128,MGR9,CC018,Q2,2021,False,,EGP
CST000202,2021-12-26,Marketing,Mansoura,Depreciation,14779.41,16159.96,E0075,MGR17,CC026,Q4,2022,True,,EGP
CST000203,2022-10-26,Operations,Mansoura,Salaries,14765.52,4178.51,E0126,MGR17,CC013,Q3,2021,True,Note_94,EGP
CST000204,2023-02-08,Sales,Port Said,Marketing,3678.83,2166.37,E0104,MGR8,CC005,Q2,2023,True,Note_14,USD
CST000205,2024-12-07,Sales,Luxor,Utilities,18563.72,2811.81,E0127,MGR8,CC022,Q1,2022,False,,EUR
CST000206,2023-11-22,Sales,Luxor,Rent,10586.02,6838.24,E0148,MGR10,CC016,Q3,2021,True,,EGP
CST000207,2021-12-29,Customer Service,Tanta,COGS,6666.69,14711.79,E0126,MGR5,CC017,Q3,2023,True,,EUR
CST000208,2022-02-15,Marketing,Suez,Rent,7284.02,1671.07,E0153,MGR20,CC013,Q2,2021,True,Note_19,EGP
CST000209,2023-02-21,Finance,Giza,Rent,1597.79,60638.01,E0148,MGR14,CC004,Q1,2024,True,,EGP
CST000210,2023-10-31,Finance,Suez,Marketing,7920.59,5224.53,E0150,MGR6,CC010,Q4,2023,False,,EGP
CST000211,2024-09-02,Sales,Giza,Depreciation,2973.85,22418.97,E0127,MGR6,CC012,Q3,2023,True,,EGP
CST000212,2023-09-05,Customer Service,Tanta,Maintenance,10811.44,15946.95,E0005,MGR18,CC028,Q4,2024,True,Note_41,EGP
CST000213,2024-06-23,Finance,Giza,Salaries,4445.55,20542.25,E0125,MGR19,CC004,Q1,2024,True,,EGP
CST000214,2023-02-19,Marketing,Tanta,Rent,17631.64,5046.52,E0104,MGR16,CC013,Q4,2023,False,,EGP
CST000215,2021-08-16,Sales,Aswan,Salaries,1474.94,202.37,E0136,MGR3,CC015,Q3,2023,True,,USD
