Customer_ID,Customer_Name,City,Region,Segment,Credit_Limit,Outstanding_Balance,Payment_Terms_Days,Registration_Date,Account_Status,Tax_ID,Industry,Annual_Revenue_EGP,Contact_Email,Assigned_Rep
C00019,Customer_19,Mansoura,South,Government,250000,1333,45,2024-07-02,Active,,Retail,18776305.0,contact18@company18.com,E0026
C00020,Customer_20,Alexandria,South,Government,50000,156393,45,2022-12-19,Suspended,TAX6051193,Retail,9631558.0,contact19@company19.com,E0142
C00021,Customer_21,Suez,East,Enterprise,250000,241621,90,2022-01-02,Inactive,,Healthcare,1516284.0,contact20@company20.com,E0131
C00022,Customer_22,Luxor,East,Retail,50000,24993,90,2023-03-21,Inactive,TAX9131815,Education,1458518.0,contact21@company21.com,E0089
C00023,Customer_23,Luxor,West,Retail,50000,289246,90,2021-02-08,Active,TAX1463087,Real Estate,237549.0,,E0139
C00024,Customer_24,Aswan,West,Enterprise,500000,247609,45,2023-05-13,Active,TAX3900041,Real Estate,1739832.0,contact23@company23.com,E0129
C00025,Customer_25,Cairo,North,SME,500000,3226,60,2023-04-07,Active,TAX8315533,Technology,957820.0,contact24@company24.com,E0199
C00026,Customer_26,Mansoura,East,Retail,500000,65591,60,2022-12-22,Inactive,TAX5110292,Real Estate,629238.0,contact25@company25.com,E0008
C00027,Customer_27,Luxor,East,Retail,100000,96106,30,2024-04-23,Active,TAX5184053,Real Estate,4825860.0,contact26@company26.com,E0089
C00028,Customer_28,Suez,North,Retail,50000,107009,45,2021-08-14,Active,TAX9167524,Manufacturing,296014.0,contact27@company27.com,E0080
C00029,Customer_29,Suez,North,SME,250000,42121,60,2021-07-20,Inactive,TAX6925256,Food & Beverage,2431022.0,contact28@company28.com,E0099
C00030,Customer_30,Cairo,South,Enterprise,1000000,13846,30,2024-04-23,Active,TAX9158962,Manufacturing,635604.0,contact29@company29.com,E0080
C00031,Customer_31,Giza,North,SME,1000000,145729,90,2023-12-28,Active,TAX3408266,Healthcare,143087.0,contact30@company30.com,E0199
C00032,Customer_32,Cairo,Central,SME,250000,172903,30,2022-10-04,,TAX5400022,Manufacturing,1054589.0,contact31@company31.com,E0005
C00033,Customer_33,Alexandria,East,Retail,100000,62049,45,2021-12-24,Active,TAX1706745,Education,1058751.0,contact32@company32.com,E0059
C00034,Customer_34,Suez,West,Enterprise,50000,110727,30,2023-05-28,Active,TAX5418067,Food & Beverage,3189983.0,contact33@company33.com,E0126
C00035,Customer_35,Mansoura,West,Retail,250000,244804,90,2021-07-28,Active,TAX5661880,Food & Beverage,1888904.0,contact34@company34.com,E0017
C00036,Customer_36,Luxor,East,SME,1000000,34196,30,2024-12-10,Active,TAX8171717,Education,81761.0,contact35@company35.com,E0075
C00037,Customer_37,Suez,North,Retail,250000,206966,90,2021-03-02,Active,TAX1959633,Technology,835356.0,contact36@company36.com,E0181
C00038,Customer_38,Tanta,Central,Retail,50000,112787,60,2023-05-10,Active,TAX2335697,Manufacturing,8026117.0,contact37@company37.com,E0015
C00039,Customer_39,Aswan,Central,SME,50000,187137,90,2022-02-08,Inactive,TAX2773512,Healthcare,379367.0,contact38@company38.com,E0188
C00040,Customer_40,Luxor,East,Government,250000,47386,45,2021-02-20,Active,TAX8500974,Real Estate,2198561.0,contact39@company39.com,E0058
C00041,Customer_41,Luxor,West,SME,250000,54531,90,2023-08-13,Active,TAX1933025,Technology,335615.0,contact40@company40.com,E0197
C00042,Customer_42,Mansoura,Central,SME,50000,112519,60,2023-05-23,Active,TAX4346469,Real Estate,6133854.0,contact41@company41.com,E0021
C00043,Customer_43,Aswan,North,Retail,100000,239000,45,2023-01-05,Active,TAX5036232,Education,1211464.0,contact42@company42.com,E0067
C00044,Customer_44,Port Said,Central,SME,250000,295001,60,2024-05-25,Active,TAX2877754,Manufacturing,144151.0,contact43@company43.com,E0141
C00045,Customer_45,Aswan,North,Retail,100000,284876,60,2022-08-10,Active,,Education,1879966.0,contact44@company44.com,E0103
C00046,Customer_46,Alexandria,West,Retail,1000000,268700,45,2021-01-08,Suspended,TAX7788985,Retail,293571.0,contact45@company45.com,E0137
C00047,Customer_47,Port Said,East,Retail,500000,14145,90,2023-09-18,Active,TAX7054391,Real Estate,932303.0,contact46@company46.com,E0058
C00048,Customer_48,Suez,South,SME,500000,26685,90,2022-09-29,Suspended,TAX8598114,Healthcare,1649100.0,contact47@company47.com,E0101
C00049,Customer_49,Tanta,North,SME,1000000,257146,60,2024-08-10,Active,TAX8528555,Healthcare,428859.0,contact48@company48.com,E0074
C00050,Customer_50,Suez,South,Enterprise,1000000,253630,30,2024-04-07,Active,,Food & Beverage,17058896.0,,E0151
C00051,Customer_51,Cairo,Central,Enterprise,500000,66012,90,2022-04-10,Active,TAX4237238,Retail,5095850.0,contact50@company50.com,E0103
C00052,Customer_52,Port Said,West,Retail,1000000,102,45,2021-10-17,Active,TAX1788165,Education,484822.0,contact51@company51.com,E0199
C00053,Customer_53,Cairo,East,Retail,100000,4092,30,2024-08-02,Active,TAX7132135,Healthcare,12270175.0,contact52@company52.com,E0109
C00054,Customer_54,Aswan,South,Retail,1000000,94028,30,2022-01-30,Active,TAX4770189,Retail,6806736.0,contact53@company53.com,E0083
C00055,Customer_55,Tanta,West,SME,500000,176620,30,2021-12-29,Active,TAX8304138,Technology,4000588.0,contact54@company54.com,E0176
C00056,Customer_56,Cairo,Central,SME,500000,186606,45,2022-09-09,Active,TAX8500100,Retail,1733537.0,,E0148
C00057,Customer_57,Aswan,North,Enterprise,1000000,21441,90,2021-10-24,Inactive,TAX2510726,Food & Beverage,594726.0,,E0121
C00058,Customer_58,Aswan,East,Retail,250000,13714,60,2024-09-16,Active,TAX5269991,Manufacturing,165215.0,contact57@company57.com,E0158
C00059,Customer_59,Tanta,East,Retail,500000,187950,45,2024-05-31,Active,TAX3716040,Retail,260561.0,contact58@company58.com,E0188
C00060,Customer_60,Mansoura,West,Retail,50000,96471,60,2022-07-13,Active,TAX8464654,Retail,596621.0,contact59@company59.com,E0083
C00061,Customer_61,Port Said,North,Retail,1000000,176414,60,2021-11-04,Active,TAX1553826,Healthcare,3276900.0,contact60@company60.com,E0012
C00062,Customer_62,Port Said,North,SME,1000000,223757,60,2024-10-27,Active,TAX1639391,Food & Beverage,2097933.0,contact61@company61.com,E0045
C00063,Customer_63,Tanta,North,SME,250000,73437,30,2022-02-15,Active,TAX9734653,Real Estate,265556.0,contact62@company62.com,E0022
C00064,Customer_64,Tanta,West,SME,500000,50778,30,2023-05-23,Inactive,TAX4162378,Retail,3866697.0,contact63@company63.com,E0196
C00065,Customer_65,Aswan,South,Retail,1000000,89590,90,2021-01-02,Active,TAX8928913,Food & Beverage,711656.0,contact64@company64.com,E0195
C00066,Customer_66,Suez,South,Retail,500000,179278,30,2022-04-14,Active,TAX4268120,Real Estate,11012863.0,contact65@company65.com,E0176
C00067,Customer_67,Suez,East,SME,500000,78484,90,2024-08-06,Active,TAX7002980,Manufacturing,560005.0,contact66@company66.com,E0050
C00068,Customer_68,Asyut,South,Retail,250000,130654,60,2023-11-13,,TAX2504236,Technology,8252252.0,contact67@company67.com,E0120
C00069,Customer_69,Luxor,South,Enterprise,500000,14834,60,2022-01-05,Active,,Food & Beverage,856325.0,contact68@company68.com,E0073
C00070,Customer_70,Asyut,East,Retail,1000000,229946,45,2021-04-26,Active,TAX9154304,Real Estate,470825.0,contact69@company69.com,E0099
C00071,Customer_71,Asyut,South,Retail,50000,296921,90,2024-10-02,Active,TAX3106970,Healthcare,3447665.0,contact70@company70.com,E0166
C00072,Customer_72,Aswan,North,Government,250000,121557,90,2021-08-08,Inactive,TAX8410180,Technology,1550173.0,contact71@company71.com,E0053
C00073,Customer_73,Alexandria,North,SME,50000,58239,30,2024-01-05,Active,TAX2101736,Manufacturing,474669.0,contact72@company72.com,E0089
C00074,Customer_74,Alexandria,South,SME,50000,47062,45,2023-02-25,Inactive,TAX6633251,Real Estate,578071.0,contact73@company73.com,E0100
C00075,Customer_75,Giza,South,Retail,50000,283451,30,2022-11-17,Suspended,TAX5944287,Healthcare,153877.0,contact74@company74.com,E0171
C00076,Customer_76,Alexandria,Central,Enterprise,1000000,30700,30,2021-02-06,Active,TAX7000685,Real Estate,10045794.0,contact75@company75.com,E0144
C00077,Customer_77,Aswan,Central,Enterprise,250000,62666,30,2024-01-22,Inactive,TAX7454780,Manufacturing,28486020.0,contact76@company76.com,E0114
C00078,Customer_78,Port Said,North,SME,50000,148502,90,2021-05-16,Active,TAX3415314,Technology,616947.0,contact77@company77.com,E0145
C00079,Customer_79,Giza,Central,Retail,500000,28079,45,2021-11-20,Active,TAX4885476,Education,566547.0,contact78@company78.com,E0099
C00080,Customer_80,Tanta,North,Retail,50000,101997,45,2021-10-14,Active,TAX1722042,Real Estate,1322206.0,contact79@company79.com,E0017
C00081,Customer_81,Luxor,South,Retail,500000,225876,90,2024-07-02,Inactive,TAX1651073,Real Estate,1315981.0,contact80@company80.com,E0046
C00082,Customer_82,Cairo,West,SME,500000,107806,45,2023-02-16,Active,TAX1258439,Healthcare,4774244.0,contact81@company81.com,E0172
C00083,Customer_83,Asyut,North,Government,500000,63194,30,2024-05-27,Active,TAX2432209,Real Estate,1808435.0,contact82@company82.com,E0165
C00084,Customer_84,Aswan,South,Retail,250000,244587,30,2023-11-15,Active,TAX7492771,Real Estate,427707.0,contact83@company83.com,E0200
C00085,Customer_85,Alexandria,South,Government,1000000,158865,45,2021-10-08,Active,TAX1177446,Retail,5697124.0,contact84@company84.com,E0087
C00086,Customer_86,Mansoura,West,SME,50000,15475,60,2021-01-23,Active,TAX8311594,Education,3529780.0,contact85@company85.com,E0008
C00087,Customer_87,Tanta,South,Retail,500000,266648,90,2024-04-19,Active,TAX6441766,Real Estate,501974.0,contact86@company86.com,E0059
C00088,Customer_88,Asyut,West,Enterprise,500000,149095,45,2021-03-06,Active,TAX7036469,Education,5333676.0,contact87@company87.com,E0149
C00089,Customer_89,Tanta,Central,SME,100000,28043,60,2021-03-30,Suspended,TAX5572023,Manufacturing,1302115.0,contact88@company88.com,E0015
C00090,Customer_90,Tanta,Central,Enterprise,1000000,88934,30,2021-10-21,Active,TAX8910450,Retail,717013.0,contact89@company89.com,E0001
C00091,Customer_91,Aswan,Central,Enterprise,250000,110478,30,2022-03-16,Active,TAX9669782,Retail,182520.0,contact90@company90.com,E0094
C00092,Customer_92,Tanta,East,Retail,250000,60500,45,2024-11-18,Active,TAX7308274,Real Estate,1721305.0,contact91@company91.com,E0092
C00093,Customer_93,Mansoura,East,SME,1000000,232893,45,2022-08-09,Active,TAX5074460,Retail,11268682.0,contact92@company92.com,E0100
C00094,Customer_94,Tanta,South,SME,250000,288628,45,2024-01-06,Active,TAX7839351,Retail,382324.0,contact93@company93.com,E0044
C00095,Customer_95,Giza,West,Retail,100000,177853,30,2021-07-14,Active,TAX2197389,Technology,2024498.0,,E0170
C00096,Customer_96,Aswan,North,SME,1000000,280637,30,2021-08-27,Active,TAX9302706,Healthcare,699619.0,contact95@company95.com,E0046
C00097,Customer_97,Port Said,North,SME,250000,30062,60,2022-09-02,Active,TAX2138741,Healthcare,7788892.0,,E0025
C00098,Customer_98,Asyut,West,Retail,1000000,125413,60,2024-05-19,,TAX6937899,Real Estate,2801187.0,contact97@company97.com,E0027
C00099,Customer_99,Tanta,North,Retail,100000,271725,45,2021-08-02,Active,TAX7442374,Manufacturing,4294610.0,contact98@company98.com,E0134
C00100,Customer_100,Suez,North,SME,100000,292337,90,2022-02-01,Active,TAX7937073,Healthcare,1347564.0,contact99@company99.com,E0168
C00101,Customer_101,Port Said,West,Enterprise,50000,273434,90,2022-07-30,Active,TAX3592107,Technology,2658733.0,contact100@company100.com,E0020
C00102,Customer_102,Mansoura,North,Retail,1000000,169825,45,2022-02-16,Active,TAX2974026,Education,259038.0,contact101@company101.com,E0011
C00103,Customer_103,Luxor,South,Enterprise,250000,152666,45,2021-08-24,Active,TAX5675530,Healthcare,2168668.0,contact102@company102.com,E0140
C00104,Customer_104,Port Said,Central,Retail,250000,101881,60,2021-09-18,Active,TAX5063769,Food & Beverage,1608579.0,,E0086
C00105,Customer_105,Tanta,East,Government,100000,65765,60,2024-08-29,Inactive,TAX8670387,Technology,547157.0,contact104@company104.com,E0145
C00106,Customer_106,Suez,West,SME,250000,282477,60,2023-09-20,Inactive,TAX1393479,Education,3705840.0,contact105@company105.com,E0006
C00107,Customer_107,Giza,West,Government,50000,275028,45,2022-12-16,Active,TAX2673716,Real Estate,6338558.0,contact106@company106.com,E0084
C00108,Customer_108,Asyut,South,Government,250000,233417,60,2022-04-18,Active,TAX5736207,Manufacturing,576806.0,contact107@company107.com,E0135
C00109,Customer_109,Asyut,North,SME,250000,230151,30,2022-01-31,Active,TAX6085737,Real Estate,127402.0,,E0118
C00110,Customer_110,Port Said,East,Retail,50000,261460,90,2024-08-23,Active,TAX9137121,Food & Beverage,1238455.0,,E0078
C00111,Customer_111,Aswan,East,Retail,1000000,89314,90,2024-03-17,Active,TAX8496226,Manufacturing,4768729.0,contact110@company110.com,E0016
C00112,Customer_112,Luxor,North,Government,100000,210325,30,2024-10-13,Active,TAX5205992,Manufacturing,2057178.0,contact111@company111.com,E0155
C00113,Customer_113,Cairo,West,Enterprise,500000,277895,60,2023-11-17,Active,TAX3163202,Retail,1100981.0,,E0140
C00114,Customer_114,Giza,North,Retail,50000,160818,30,2022-03-25,Inactive,TAX9976473,Healthcare,779932.0,contact113@company113.com,E0079
C00115,Customer_115,Alexandria,Central,SME,1000000,269425,90,2023-11-16,Active,TAX8157788,Healthcare,3124932.0,,E0123
C00116,Customer_116,Tanta,West,Retail,250000,141373,60,2023-12-03,Inactive,TAX3172590,Manufacturing,4477039.0,contact115@company115.com,E0096
C00117,Customer_117,Mansoura,Central,SME,500000,94621,60,2021-08-08,Active,TAX8514512,Technology,3994195.0,contact116@company116.com,E0144
C00118,Customer_118,Port Said,East,Retail,100000,195273,60,2021-04-23,Active,TAX6729625,Food & Beverage,30288028.0,contact117@company117.com,E0031
C00119,Customer_119,Giza,East,Retail,250000,95842,45,2023-04-08,Inactive,,Technology,878010.0,contact118@company118.com,E0007
C00120,Customer_120,Suez,South,SME,250000,203448,90,2022-01-09,Active,TAX9489359,Manufacturing,2507413.0,contact119@company119.com,E0161
C00121,Customer_121,Cairo,East,SME,100000,289406,30,2022-07-17,Active,TAX7818213,Healthcare,357608.0,contact120@company120.com,E0086
C00122,Customer_122,Suez,South,SME,1000000,251017,60,2022-03-26,Active,TAX5013740,Technology,2231550.0,contact121@company121.com,E0041
C00123,Customer_123,Alexandria,West,Retail,1000000,110838,90,2023-04-24,Active,TAX9041294,Retail,17608989.0,contact122@company122.com,E0036
C00124,Customer_124,Aswan,North,Retail,100000,252761,30,2021-01-16,Suspended,TAX4466864,Retail,2296630.0,contact123@company123.com,E0122
C00125,Customer_125,Asyut,North,Retail,1000000,189346,45,2021-12-06,Active,TAX1342795,Education,4521988.0,contact124@company124.com,E0173
C00126,Customer_126,Tanta,Central,Retail,250000,154778,60,2023-04-07,Active,TAX4755395,Healthcare,2245944.0,contact125@company125.com,E0133
C00127,Customer_127,Giza,Central,Retail,250000,171591,60,2024-11-20,Inactive,TAX1881651,Healthcare,2007034.0,contact126@company126.com,E0179
C00128,Customer_128,Tanta,North,Retail,50000,60864,90,2022-08-23,Suspended,,Real Estate,1194042.0,contact127@company127.com,E0066
C00129,Customer_129,Suez,South,SME,50000,140053,30,2024-02-15,Suspended,TAX7138266,Retail,1912497.0,contact128@company128.com,E0071
C00130,Customer_130,Tanta,North,Retail,250000,99756,90,2021-08-16,Active,TAX9246282,Manufacturing,1522043.0,contact129@company129.com,E0092
C00131,Customer_131,Mansoura,Central,SME,100000,272711,90,2024-04-04,Active,TAX4302637,Retail,1810352.0,contact130@company130.com,E0121
C00132,Customer_132,Mansoura,East,Retail,1000000,284582,60,2023-07-07,Suspended,TAX6784606,Manufacturing,1398487.0,contact131@company131.com,E0118
C00133,Customer_133,Alexandria,East,SME,1000000,124002,90,2023-04-11,Active,TAX3051351,Retail,1203454.0,contact132@company132.com,E0157
C00134,Customer_134,Asyut,East,SME,250000,280586,30,2022-02-22,,TAX8558703,Healthcare,874003.0,contact133@company133.com,E0047
C00135,Customer_135,Aswan,North,Retail,250000,50429,45,2021-08-08,Active,TAX8176890,Food & Beverage,38630.0,contact134@company134.com,E0164
C00136,Customer_136,Alexandria,North,Enterprise,100000,280749,90,2021-06-03,Active,TAX8445195,Healthcare,3432628.0,contact135@company135.com,E0157
C00137,Customer_137,Tanta,East,SME,100000,70717,90,2023-01-08,Inactive,TAX1234567,Education,445776.0,contact136@company136.com,E0062
C00138,Customer_138,Port Said,West,SME,50000,192489,30,2021-02-21,Active,TAX2587822,Real Estate,156322.0,contact137@company137.com,E0105
C00139,Customer_139,Cairo,Central,Retail,100000,62528,60,2023-05-14,Inactive,TAX9597449,Healthcare,139776.0,contact138@company138.com,E0191
C00140,Customer_140,Mansoura,West,Retail,500000,265399,45,2022-05-13,Active,TAX5282972,Education,1011281.0,contact139@company139.com,E0191
C00141,Customer_141,Suez,North,Government,250000,82722,60,2022-12-22,Active,TAX8731777,Technology,1389641.0,contact140@company140.com,E0005
C00142,Customer_142,Cairo,North,Retail,1000000,90151,30,2024-08-28,,TAX3260693,Healthcare,615413.0,contact141@company141.com,E0141
C00143,Customer_143,Alexandria,Central,Enterprise,1000000,69401,90,2021-09-17,Active,TAX5934921,Food & Beverage,512616.0,contact142@company142.com,E0170
C00144,Customer_144,Tanta,Central,Government,250000,3159,60,2024-07-31,Active,TAX8474785,Manufacturing,247899.0,contact143@company143.com,E0058
C00145,Customer_145,Asyut,North,SME,250000,192731,45,2024-05-21,Inactive,TAX2825131,Retail,275432.0,contact144@company144.com,E0124
C00146,Customer_146,Port Said,South,SME,250000,285947,45,2021-02-05,Active,TAX2699899,Food & Beverage,1264772.0,contact145@company145.com,E0171
C00147,Customer_147,Port Said,East,SME,1000000,180505,30,2023-12-10,Active,TAX4880422,Manufacturing,115239.0,contact146@company146.com,E0045
C00148,Customer_148,Aswan,South,SME,1000000,47362,45,2023-11-07,Suspended,TAX7530187,Manufacturing,3596123.0,contact147@company147.com,E0128
C00149,Customer_149,Giza,North,Retail,50000,185734,90,2024-07-01,Inactive,TAX1837551,Technology,6063727.0,contact148@company148.com,E0143
C00150,Customer_150,Luxor,North,SME,250000,190025,90,2021-08-06,Active,TAX9093459,Real Estate,341214.0,contact149@company149.com,E0050
C00151,Customer_151,Giza,South,Retail,50000,27607,30,2024-05-31,Active,TAX5777744,Real Estate,1158378.0,contact150@company150.com,E0038
C00152,Customer_152,Suez,West,Retail,50000,38458,60,2024-01-28,,TAX2853580,Manufacturing,479814.0,contact151@company151.com,E0098
C00153,Customer_153,Asyut,North,SME,250000,183455,45,2024-08-23,Inactive,TAX5132011,Food & Beverage,4831300.0,contact152@company152.com,E0176
C00154,Customer_154,Aswan,North,Government,50000,278995,90,2021-05-16,Active,TAX2319517,Healthcare,9095062.0,contact153@company153.com,E0086
C00155,Customer_155,Port Said,South,SME,100000,241856,90,2024-02-26,Active,TAX3445116,Retail,4836408.0,contact154@company154.com,E0071
C00156,Customer_156,Luxor,East,Enterprise,50000,266394,30,2021-04-26,Active,TAX9768906,Food & Beverage,1677547.0,contact155@company155.com,E0159
C00157,Customer_157,Luxor,East,Government,250000,136015,30,2024-12-28,Active,TAX5058021,Real Estate,596749.0,contact156@company156.com,E0154
C00158,Customer_158,Tanta,East,SME,250000,111912,45,2023-08-08,Suspended,TAX1827538,Technology,382475.0,contact157@company157.com,E0188
C00159,Customer_159,Cairo,East,Enterprise,250000,16288,60,2021-09-28,Active,TAX8209760,Manufacturing,1377295.0,contact158@company158.com,E0119
C00160,Customer_160,Port Said,West,Retail,500000,83300,60,2023-11-22,Inactive,TAX7184183,Technology,719958.0,contact159@company159.com,E0138
C00161,Customer_161,Asyut,East,Enterprise,1000000,167956,90,2022-06-06,Active,TAX7074311,Education,697833.0,contact160@company160.com,E0154
C00162,Customer_162,Cairo,South,Retail,250000,247930,45,2021-11-23,Suspended,TAX9580604,Retail,898244.0,contact161@company161.com,E0016
C00163,Customer_163,Tanta,West,Retail,1000000,254294,60,2021-11-18,,TAX3377640,Real Estate,537789.0,contact162@company162.com,E0037
C00164,Customer_164,Mansoura,East,Enterprise,500000,240948,45,2022-08-19,Active,TAX5830982,Education,733513.0,contact163@company163.com,E0063
C00165,Customer_165,Port Said,North,SME,50000,166379,60,2022-07-08,Active,TAX8916174,Food & Beverage,1999552.0,contact164@company164.com,E0095
C00166,Customer_166,Giza,South,Retail,1000000,275103,60,2023-04-09,Active,,Real Estate,3852183.0,contact165@company165.com,E0171
C00167,Customer_167,Aswan,East,Retail,1000000,56466,90,2022-11-28,Active,TAX1272531,Retail,2401109.0,contact166@company166.com,E0169
C00168,Customer_168,Alexandria,East,Retail,50000,65684,45,2023-09-10,Active,TAX7717562,Manufacturing,3971794.0,contact167@company167.com,E0007
C00169,Customer_169,Asyut,North,Government,500000,178304,90,2024-02-29,Active,TAX3049945,Retail,10549451.0,contact168@company168.com,E0075
C00170,Customer_170,Tanta,East,SME,1000000,165800,90,2022-04-23,Inactive,TAX5647110,Technology,7822777.0,contact169@company169.com,E0026
C00171,Customer_171,Luxor,North,Retail,100000,264914,45,2023-07-08,Suspended,TAX6573339,Education,1043989.0,contact170@company170.com,E0040
C00172,Customer_172,Tanta,North,SME,50000,30625,30,2021-07-08,Active,TAX7295521,Healthcare,657430.0,contact171@company171.com,E0153
C00173,Customer_173,Mansoura,West,SME,50000,6360,30,2021-10-09,Active,TAX9855460,Education,1496353.0,contact172@company172.com,E0043
C00174,Customer_174,Aswan,South,SME,250000,233989,45,2024-06-09,Inactive,TAX1858492,Technology,868640.0,contact173@company173.com,E0155
C00175,Customer_175,Asyut,Central,Retail,500000,182759,90,2022-04-11,Active,TAX8721369,Manufacturing,3138569.0,contact174@company174.com,E0066
C00176,Customer_176,Aswan,South,SME,1000000,43292,90,2023-07-24,Active,TAX1631417,Education,2024088.0,contact175@company175.com,E0132
C00177,Customer_177,Tanta,South,Retail,100000,259744,30,2024-11-09,Active,TAX3179932,Manufacturing,16816.0,contact176@company176.com,E0007
C00178,Customer_178,Port Said,North,Government,500000,95445,30,2022-06-05,Active,TAX5239812,Healthcare,527461.0,contact177@company177.com,E0069
C00179,Customer_179,Cairo,East,Government,50000,238531,90,2024-01-19,Active,TAX7590613,Food & Beverage,175564.0,contact178@company178.com,E0059
C00180,Customer_180,Asyut,West,SME,250000,148970,60,2021-07-16,Active,TAX9550678,Healthcare,735276.0,contact179@company179.com,E0017
C00181,Customer_181,Tanta,North,SME,50000,294881,60,2024-11-01,Active,TAX6690125,Food & Beverage,985811.0,contact180@company180.com,E0038
C00182,Customer_182,Mansoura,North,Retail,250000,229755,45,2024-05-05,Active,TAX2847620,Education,792785.0,contact181@company181.com,E0099
C00183,Customer_183,Alexandria,West,Retail,500000,188657,90,2021-02-12,Active,TAX9127231,Food & Beverage,3588356.0,contact182@company182.com,E0096
C00184,Customer_184,Luxor,South,Retail,50000,255622,90,2022-01-26,Suspended,TAX2366538,Healthcare,13425067.0,,E0002
C00185,Customer_185,Asyut,East,Government,100000,293371,45,2022-06-16,Active,TAX6629322,Food & Beverage,2458934.0,contact184@company184.com,E0185
C00186,Customer_186,Tanta,North,Enterprise,1000000,267573,90,2021-02-08,Active,TAX3334571,Food & Beverage,272686.0,contact185@company185.com,E0028
C00187,Customer_187,Asyut,North,SME,100000,203035,30,2022-12-25,Inactive,TAX9878949,Technology,9563921.0,contact186@company186.com,E0127
C00188,Customer_188,Tanta,West,Retail,50000,237439,90,2021-02-17,Active,TAX9816101,Real Estate,1139419.0,contact187@company187.com,E0131
C00189,Customer_189,Giza,East,Retail,50000,169113,45,2022-11-28,Active,TAX4142920,Food & Beverage,556439.0,contact188@company188.com,E0155
C00190,Customer_190,Luxor,West,Retail,500000,142682,30,2024-10-08,Active,TAX1426888,Technology,1088422.0,contact189@company189.com,E0035
C00191,Customer_191,Tanta,West,Enterprise,50000,289040,60,2023-06-28,Active,TAX5611241,Retail,1702638.0,contact190@company190.com,E0048
C00192,Customer_192,Luxor,South,SME,250000,78242,60,2022-06-26,Active,TAX1841096,Education,5258742.0,contact191@company191.com,E0072
C00193,Customer_193,Port Said,North,Retail,250000,284231,30,2022-03-21,Active,TAX4580992,Technology,2239946.0,contact192@company192.com,E0106
C00194,Customer_194,Luxor,West,Government,250000,153717,90,2022-08-25,Suspended,TAX5031067,Real Estate,154023.0,contact193@company193.com,E0107
C00195,Customer_195,Luxor,East,SME,50000,33272,45,2021-08-28,Active,TAX9280823,Manufacturing,3085088.0,contact194@company194.com,E0059
C00196,Customer_196,Alexandria,West,Retail,250000,206926,30,2024-11-21,Active,TAX7619175,Food & Beverage,1613801.0,contact195@company195.com,E0159
C00197,Customer_197,Luxor,East,Enterprise,500000,111613,90,2023-07-02,Suspended,TAX1234567,Technology,10694932.0,contact196@company196.com,E0116
